,,,TEST ADJ - ABOUT DP,,,,TEST ADJ - OF DP BECAUSE S,,,,TEST ADJ - THAT,,,,TEST ADJ - ABOUT GERUND,,,,TEST ADJ - AT…BECAUSE,,,,TEST ADJ - TO VP,,,,"CONTROL - 1, 2, 3 Ns",,,,CONTROL V - TRANSITIVE V,,,,CONTROL NON-EMOT ADJ - GERUND…FOR,,,,CONTROL NON-EMOT ADJ - EXPLETIVE…FOR...TO,,,
610d02f9c74aa6eb0b2d5120,animate,lexical,annoyed,1,1,3,nervous,1,1,4,happy,1,1,4,anxious,1,1,2,mad,1,1,4,crazy,1,1,2,coins,1,1,1,break,1,1,1,fun,1,0,3,bad,1,0,2
63ed055f8544b95881b99915,animate,lexical,Enjoys,0,0,2,Enjoys,0,0,2,excited,1,1,1,uncertain,1,1,3,close,1,0,3,doesn't like ,0,0,1,Blanket,1,1,3,play ,1,1,1,enjoyable ,1,0,3,frequents,1,0,4
597b39512351f1000158fcda,animate,lexical,doesnt like,0,0,2,unsure,1,1,2,happy,1,1,3,anxious,1,1,3,annoyed,1,1,2,happy,1,1,2,food,1,0,1,drive,1,1,2,fun,1,0,3,annoying,1,0,3
63da666c15e119dc0494d55b,animate,lexical,upset,1,1,1,scared,1,1,3,happy,1,1,1,worried,1,1,2,annoyed,1,1,4,happy,1,1,1,something,1,1,1,rake,1,1,1,fun,1,0,3,dangerous,1,0,1
63ea414c6ae63a1b1cf8b7d2,animate,lexical,excited,1,1,3,scared,1,1,4,happy,1,1,3,worried,1,1,4,angry,1,1,4,trying,1,0,2,sweets,1,1,1,cook,1,1,1,healthy,1,0,4,dangerous,1,0,3
63d3fb4ab5234b33289e0a01,animate,lexical,fearless,1,1,1,scared,1,1,3,pleased,1,1,1,unsure,1,1,2,annoyed,1,1,3,likely,1,0,1,suprise,1,1,1,hit,1,1,1,good,1,0,3,upsetting,1,0,1
5c16c04cd0194b0001e693f0,animate,lexical,happy,1,1,2,caring,1,0,2,excited,1,1,2,nervous,1,1,2,angry,1,1,3,Likely,1,0,2,Snacks,1,1,2,Fix,1,1,2,Fun,1,0,3,Natural ,1,0,2
5e78c7f1e9504104041a727a,animate,lexical,happy,1,1,3,scared,1,1,3,happy,1,1,2,apprehensive,1,1,1,angry,1,1,3,Known ,1,0,2,Belong,1,1,1,Walk,1,1,1,Good,1,0,2,Sensible ,1,0,1
5e289b3d335f7007aed8886b,animate,lexical,unhappy,1,1,2,scared,1,1,3,happy,1,1,3,afraid,1,1,2,angry,1,1,4,afraid,1,1,1,Apples,1,1,1,Clean,1,1,1,Fun,1,0,1,[blank],n/a,n/a,1
62e3ff70c659e13e1ddf3048,animate,lexical,upset,1,1,2,fond,1,1,2,happy,1,1,2,nervous,1,1,2,upset,1,1,3,likely,1,0,2,Some kind of food item,1,1,2,ride,1,1,3,good,1,0,2,dangerous,1,0,2
5a779c1daa46dd00016b23df,animate,lexical,not happy,1,1,2,obsessed,1,1,2,happy,1,1,3,nervous,1,1,1,aggitated,1,1,1,crazy,1,1,2,a type of jewellery ,1,0,1,clean,1,1,1,fun,1,0,4,good,1,0,2
6058e58ad1de5339825e2ec6,animate,lexical,sad,1,1,3,scared,1,1,3,happy,1,1,4,nervous,1,1,3,angry,1,1,4,afraid,1,1,1,Medication,1,1,2,move,1,1,1,good,1,0,2,dangerous,1,0,1
60036f93535f9a442ef25df9,animate,lexical,happy,1,1,4,scared,1,1,4,excited,1,1,2,nervous,1,1,4,excited,1,1,2,loopy,1,0,2,lip gloss,1,0,1,poke,1,1,3,good,1,0,3,good,1,0,1
5cb19d5777375f0016f32030,animate,lexical,spritely,1,0,1,fearful,1,1,3,happy,1,1,3,scared,1,1,2,angry,1,1,3,likely,1,0,2,I think it wouldsome kind of art supplies.,1,1,2,move,1,1,1,Fun,1,0,3,Normal,1,0,1
58d3c97d42648b0001f21cc4,animate,lexical,intelligent,1,0,1,[blank],n/a,n/a,1,psychic,0,0,[blank],scared,1,1,4,annoyed,1,1,2,happy,1,1,3,personal belongings,1,1,3,Work,1,0,2,Fun,1,0,3,Dangerous,1,0,2
5e377e7147f5527223aee301,animate,lexical,depressed,1,1,1,soothed,1,0,2,thrilled,1,1,3,nervous,1,1,2,relieved,1,1,2,looking forwar,0,0,1,I think they may be pens,1,1,1,Tie,1,1,2,relaxing,1,0,2,Energizing,1,0,1
5db54b75a3df85000edfa2cf,animate,lexical,mad,1,1,1,scared,1,1,1,[blank],n/a,n/a,1,[blank],n/a,n/a,1,[blank],n/a,n/a,1,[blank],n/a,n/a,1,something small in a bag,1,1,1,[blank],n/a,n/a,1,fun,1,0,1,[blank],n/a,n/a,1
63ea8896e94df510f36b9238,animate,lexical,upset,1,1,3,scared,1,1,3,happy,1,1,3,nervous,1,1,3,angry,1,1,3,unwilling,1,1,1,blanket,1,1,2,row,1,1,2,fun,1,0,2,normal,1,0,2
5a26178cb4a5de00011aef56,animate,lexical,an adjective describing someone who is feeling about cold weather,1,0,2,afraid,1,1,1,feeling positive about something,1,1,2,uncertain,1,1,1,angry,1,1,2,to take great enjoyment from a thing,0,0,1,an object kept in women's bags,1,1,2,verb,1,0,2,intimidating,1,0,2,illegal,1,0,1
6393a08fff31ea48f8ca7096,animate,lexical,cold,1,0,1,scared,1,1,2,happy,1,1,3,worried,1,1,2,angry,1,1,3,able,1,0,3,toys,1,1,2,find,1,1,1,great,1,0,2,wonderful,1,0,2
5c46aba95aca820001f7cbbc,animate,lexical,happy,1,1,3,scared,1,1,3,excited,1,1,3,anxious,1,1,3,upset,1,1,3,Prone,1,0,2,an object,1,1,3,Sweep,1,1,1,Fun,1,0,3,Concerning,1,0,3
5871353dd6df7000018746ca,animate,lexical,happy,1,1,1,scared,1,1,2,happy,1,1,2,nervous,1,1,2,angry,1,1,3,excited,1,1,1,Biscuit,1,1,2,Light,1,1,2,Fun,1,0,2,Hard,1,0,2
5f56b1483e63a411d99a0f01,animate,lexical,sad,1,1,2,scared,1,1,3,happy,1,1,3,anxious,1,1,3,angry,1,1,3,crazy,1,1,1,Toys,1,1,1,play,1,1,1,fun,1,0,3,good,1,0,1
5e6003da868950348ea8cdec,animate,lexical,excited,1,1,1,scared,1,1,2,positive,1,1,2,inquisitive,1,1,1,unhappy,1,1,1,crazy,1,1,2,Currency,1,1,1,destroy,1,1,2,Fun,1,0,3,Ok,1,0,1
63e52e5bc075451170259828,animate,lexical,bothered,1,1,2,scared,1,1,2,happy,1,1,2,nervous,1,1,2,annoyed,1,1,3,crazy,1,1,3,Random items,1,1,1,Cut,1,1,1,Interesting,1,0,3,Normal,1,0,1
5d95738ef9e579001dda0e08,animate,lexical,negative,1,1,2,investigating,0,0,2,happy,1,1,2,nervous,1,1,2,angry,1,1,2,happy,1,1,1,snacks,1,1,1,clean,1,1,1,enjoyable,1,0,2,interesting,1,0,1
63e7f35acaaee8a07542a249,animate,lexical,excited,1,1,2,scared,1,1,2,happy,1,1,2,excited,1,1,1,mad,1,1,3,wanting,0,0,1,tickets,1,1,1,kiss,1,1,2,interesting,1,0,2,tiring,1,0,2
5c50b130d5172600019f156f,animate,lexical,happy,1,1,1,scared,1,1,2,happy,1,1,1,apprehensive,1,1,1,annoyed,1,1,2,happy,1,1,1,clothing,1,1,1,interview,1,1,1,enjoyable,1,0,2,nice,1,0,1
63ed4f817c0e048c31b9dbd6,animate,lexical,unhappy,1,1,3,scared,1,1,,happy,1,1,4,nervous,1,1,2,angry,1,1,2,excited,1,1,1,an item,1,1,2,pull/push,1,1,3,fun,1,0,4,good,1,0,1
5d60d34008ff870016878a6d,animate,lexical,upset,1,1,1,afraid,1,1,2,happy,1,1,2,hesitant,1,1,2,upset,1,1,2,dizzy,1,0,1,item,1,1,1,cook,1,1,1,fun,1,0,2,good,1,0,1
63e546e24eee3ecb827d167b,animate,lexical,upset,1,1,2,scared,1,1,2,happy,1,1,2,anxious,1,1,2,upset,1,1,3,excited,1,1,1,currency,1,0,1,eat,1,1,2,good,1,0,2,dangerous,1,0,3
5c762ce8eda5da001662be0b,animate,lexical,angry,1,1,2,afraid,1,1,2,happy,1,1,3,shy,1,1,1,upset,1,1,3,happy,1,1,3,Money or currency,1,0,1,row,1,1,1,Fun,1,0,2,silly,1,0,1
606f277cdd257dea5536d322,animate,bleached,crazy,1,1,2,nervous,1,1,1,excited,1,1,2,worried,1,1,2,angry,1,1,2,excited,1,1,2,apples,1,1,1,clean,1,1,1,good,1,0,2,wise,1,0,2
5f1c6f60ed2efa4ff67399f4,animate,bleached,excited,1,1,1,afraid,1,1,2,interested,1,1,1,excited,1,1,1,angry,1,1,1,eager,1,1,1,Booklet,1,1,1,Catch,1,1,2,Healthy,1,0,1,Clever,1,0,1
5d209dad84b46c000177a659,animate,bleached,Greedy,1,0,2,annoyed,1,1,1,happy,1,1,2,stressed,1,1,1,angry,1,1,2,apprehensive,1,1,2,Fidget cube,1,1,1,Shake,1,1,1,Fun,1,0,2,Unheard of,1,0,1
6101555460885dc993940821,animate,bleached,annoyed,1,1,3,afraid,1,1,,excited,1,1,2,afraid,1,1,1,angry,1,1,2,afraid,1,1,2,hair clips,1,1,1,Ride,1,1,1,Fun,1,0,2,difficult,1,0,2
5e14de687d9adf000b603402,animate,bleached,enthusiastic,1,1,2,scared,1,1,1,happy,1,1,1,happy,1,1,1,angry,1,1,1,willing,1,1,1,coins,1,1,1,hit,1,1,1,fun,1,0,2,important,1,0,1
63d1e795b7b8adbb862dfaf1,animate,bleached,happy,1,1,3,cautious,1,1,3,excited,1,1,3,anxious,1,1,3,annoyed,1,1,2,cautious,1,1,2,Small object,1,1,2,Pull,1,1,1,Comforting,1,0,3,Cultural,1,0,1
58fdcd2be219d00001ee5aa0,animate,bleached,excited,1,1,2,sad,1,1,2,groovy,1,0,2,excited,1,1,2,mad,1,1,2,scared,1,1,2,item personal,1,1,2,play,1,1,2,fun,1,0,2,upsetting,1,0,2
610e575e4c25eb325fb57ea7,animate,bleached,crazy,1,1,3,active,1,0,1,excited,1,1,3,impatient,1,1,3,angry,1,1,3,lazy,1,0,2,pens,1,1,2,stroke,1,1,3,fun,1,0,3,pleasant,1,0,2
5df34f16dc853522937c6653,animate,bleached,confused,1,1,2,annoyed,1,1,2,excited,1,1,2,sad,1,1,1,angry,1,1,2,scared,1,1,2,Money,1,1,1,Clean,1,1,1,Fun,1,0,3,Hard,1,0,2
607184500f0f361d7c1d48e1,animate,bleached,angry,1,1,2,amazed,1,1,2,aware,1,1,2,nervous,1,1,2,angry,1,1,1,Lazy,1,0,3,Bucket,1,1,1,Happy,0,0,2,Fun,1,0,4,Exciting,1,0,2
60fd8026f92207ceba5fe793,animate,bleached,crazy,1,1,2,scared,1,1,1,worried,1,1,2,thinking,0,0,2,angry,1,1,2,silly,1,0,1,notebooks,1,1,1,push,1,1,1,fun,1,0,2,normal,1,0,3
6310e6dab83013f228bc121a,animate,bleached,excited,1,1,2,wary,1,1,2,excited,1,1,3,anxious,1,1,1,annoyed,1,1,3,lazy,1,0,1,a toy brick ,1,1,1,break ,1,1,3,Great ,1,0,3,gross ,1,0,2
5f18876f1096dd0804710dc0,animate,bleached,interested,1,1,2,scared,1,1,3,happy,1,1,2,excited,1,1,1,upset,1,1,3,Lazy ,1,0,1,A type of book ,1,1,1,Pull ,1,1,2,Fun,1,0,3,Normal,1,0,3
63d3fb0367f25518af752d55,animate,bleached,passionate,1,1,2,cautious,1,1,1,excited,1,1,3,anxious,1,1,2,angry,1,1,3,happy,1,1,2,A personal object,1,1,2,break,1,1,2,fun,1,0,2,Dumb,1,0,2
5c7d4bd96babcb000184fe7e,animate,bleached,An emotion,1,1,2,knowledgable,1,0,1,suspicious,1,0,3,nervous,1,1,3,angry,1,1,4,unwilling,1,1,2,Some kind of item,1,1,2,row,1,1,1,Good,1,0,3,difficult,1,0,2
6150e5601a0e7a3fbcfb9bfb,animate,bleached,daxy is a feeling,1,1,3,wilpy is an emotion towards something,1,1,3,excited,1,1,2,anxious,1,1,1,annoyed,1,1,2,nervous,1,1,1,an item,1,1,3,brush/ stroke,1,1,2,pilky is a feeling,1,1,1,difficult,1,0,2
5c87b944faadd80015a71576,animate,bleached,obsessed,1,1,2,interested,1,1,1,excited,1,1,1,sad,1,1,1,angry,1,1,2,motivated,1,1,1,thing,1,1,1,buy,1,1,1,fun,1,0,1,boring,1,0,1
5d5361322272e10001044841,animate,bleached,upset,1,1,2,wary,1,1,2,upset,1,1,2,nervous,1,1,2,annoyed,1,1,2,unsure,1,1,1,an item,1,1,2,ride,1,1,2,fun,1,0,2,interesting,1,0,1
610868591e728ebd73443176,animate,bleached,excited,1,1,2,wary,1,1,1,happy,1,1,3,unhappy,1,1,2,upset,1,1,3,happy,1,1,1,some kind of toy,1,1,2,peel,1,1,1,fun,1,0,2,nice,1,0,1
5f99a931a1794a03fbf21ffe,animate,bleached,Has a sweet tooth,0,0,1,afraid,1,1,1,Sings when nervous,0,0,1,Warm blooded,1,0,1,upset,1,1,2,Resistant,1,0,2,Collectable toy,1,1,1,"An action, e.g. touch or pet",1,1,2,Enjoyable,1,0,1,"normal, typical",1,0,2
5b8846224cdb3d00017f2abb,animate,bleached,excited,1,1,2,fearful,1,1,2,happy,1,1,2,stressed,1,1,2,angry,1,1,3,against,1,0,1,snack,1,1,1,ring,1,1,2,fun,1,0,3,hard,1,0,3
63ebf69594c369d209178fb4,animate,bleached,excited,1,1,2,Scared,1,1,3,excited,1,1,2,concerned,1,1,2,angry,1,1,3,hesistant,1,1,3,A small object ,1,1,3,Pull or pull out.,1,1,1,Fun,1,0,3,"Common, unsurprising.",1,0,3
63e5fc8bcf6b5bddf4d4fe81,animate,bleached,excited,1,1,2,scared,1,1,3,excited,1,1,2,nervous,1,1,1,angry,1,1,4,not excited,1,1,1,Some item?  Perhaps underwear?,1,1,1,Hit,1,1,3,Fun,1,0,3,Important,1,0,2
63e5200afb60e577630f1b93,animate,bleached,mad,1,1,2,sad,1,1,1,excited,1,1,2,impatient,1,1,2,angry,1,1,3,happy,1,1,1,It’s an item of which you can have,1,1,1,Brush,1,1,2,Fun,1,0,2,Bad,1,0,1
5efef7a02e80084179599349,animate,bleached,curious,1,1,2,scared,1,1,3,happy,1,1,2,worried,1,1,2,angry,1,1,2,allergic,1,0,3,sisters,1,1,2,break,1,1,1,good,1,0,3,healthy,1,0,2
63cf790208bad370e26f403e,animate,bleached,angry,1,1,3,happy at something,1,1,2,worried,1,1,4,nervous,1,1,2,mad,1,1,4,happy,1,1,3,Its pen,1,1,2,take,1,1,1,not good or bad,1,0,4,weird,1,0,2
62b1e9ba68c260c4d300f075,animate,bleached,mad,1,1,1,afraid,1,1,1,excited,1,1,1,stoked,1,1,1,angry,1,1,1,excited,1,1,1,[blank],n/a,n/a,1,Hit,1,1,1,Beneficial,1,0,1,Normal,1,0,1
5ffafdf0223a2e4d377fdefb,animate,bleached,angry,1,1,2,weary,1,0,3,suspicious,1,0,3,anxious,1,1,3,annoyed,1,1,3,willing,1,1,2,things,1,1,2,clean,1,1,2,fun,1,0,2,normal ,1,0,3
5c85883136f2450001c86ba9,animate,bleached,obsessed,1,1,1,careful,1,0,2,happy,1,1,4,anxious,1,1,2,angry,1,1,3,used to,1,0,2,Glasses,1,1,1,break,1,1,2,fun,1,0,3,typical,1,0,2
628775652a4a95dff424b930,animate,bleached,mad,1,1,3,scared,1,1,2,worried,1,1,2,excited,1,1,2,angry,1,1,3,happy,1,1,1,An item,1,1,2,hit,1,1,1,fun,1,0,2,normal,1,0,2
59609bdb599b690001ef2c59,animate,bleached,obsessive,1,1,2,wary,1,1,2,angry,1,1,3,nervous,1,1,1,angry,1,1,3,known,1,0,2,An item of jewellery,1,1,1,ruin,1,1,1,difficult,1,0,1,common,1,0,3
5d5bb3833234e300164e518a,animate,bleached,crazy,1,1,3,excited,1,1,2,happy,1,1,2,excited,1,1,3,annoyed,1,1,2,nervous,1,1,2,An ornament,1,1,2,Clean,1,1,3,Fun,1,0,2,Healthy,1,0,1
5f563771f9d13401b412c765,animate,bleached,crazy,1,1,3,scared,1,1,2,excited,1,1,2,anxious,1,1,2,angry,1,1,3,excited,1,1,2,Sweets,1,1,1,stroke,1,1,1,good,1,0,2,normal ,1,0,1
5f1b9073b07b733a1b4fdd8b,animate,bleached,interested,1,1,2,cautious,1,1,2,skeptical,1,1,2,happy,1,1,2,upset,1,1,2,expected,1,0,[blank],an object,1,1,3,collect,1,1,2,fun,1,0,2,easy,1,0,1
63d41180f831d7e83dd6c9a1,animate,bleached,happy,1,1,2,wary,1,1,2,convinced,1,0,1,excited,1,1,1,annoyed,1,1,2,happy,1,1,2,Pens,1,1,1,open,1,1,2,relaxing,1,0,1,normal,1,0,3
5fbaf990efe4a5bcf223f9d7,animate,bleached,upset,1,1,3,scared,1,1,4,excited,1,1,2,excited,1,1,1,happy,1,1,2,lazy,1,0,2,money or coins,1,1,2,push,1,1,1,fun,1,0,3,scary,1,0,4
63ea6fd5f35892d3e2c6e16c,animate,bleached,passionate,1,1,1,conscious,1,0,1,confident,1,1,1,excited,1,1,1,envious,1,1,2,excited,1,1,2,An item of clothing,1,1,1,pull/attract,1,1,1,fun,1,0,2,out of the ordinary/different,1,0,1
60a8818456a7f461db92d4ad,animate,bleached,intelligent,1,0,3,handsome,1,0,3,positive,1,1,3,attentive,1,1,4,athletic,1,0,3,sportsman,0,0,3,blocks,1,1,3,determinant,0,0,3,gentle,1,0,3,disorganized,1,0,4
5f5e116c2074a4664940c45a,animate,bleached,suspicious,1,1,2,Fan,0,0,1,afraid,1,1,1,reluctant,1,1,1,suspicious,1,1,3,hesitant,1,1,2,color pen,1,1,1,break,1,1,2,exciting ,1,0,2,Expected,1,0,2
600ed94aada7da7ee3fd0b97,inanimate,lexical,Handy,1,0,2,afraid,1,1,3,happy,1,1,3,nervous,1,1,3,angry,1,1,3,Easy,1,0,2,Trinket,1,1,2,Hit,1,1,1,Fun,1,0,3,Dangerous,1,0,3
6086a6bd99f215799dbbae97,inanimate,lexical,worried,1,1,2,scared,1,1,3,happy,1,1,2,nervous,1,1,2,angry,1,1,3,fun,1,0,2,things,1,1,1,cut,1,1,1,childish,1,0,1,dangerous,1,0,2
62b0585a12750b02563b92e5,inanimate,lexical,Thermometer,0,0,2,scared,1,1,2,happy,1,1,2,apprehensive,1,1,1,angry,1,1,2,prone,1,0,2,Toys,1,1,1,ride,1,1,2,fun,1,0,2,wary,1,1,1
5d24cf6110577200016ac8f9,inanimate,lexical,anxious,1,1,1,frightened,1,1,1,pleased,1,1,1,nervous,1,1,1,angry,1,1,1,designed,1,0,1,[blank],n/a,n/a,1,eat,1,1,1,healthy,1,0,1,strange,1,0,1
56e6f0dec89073000de74780,inanimate,lexical,annoyed,1,1,1,scared,1,1,2,happy,1,1,2,anxious,1,1,2,angry,1,1,2,able,1,0,1,trinket,1,1,1,climb,1,1,1,fun,1,0,2,dangerous,1,0,2
63cd6e1eaddf253acec71c9a,inanimate,lexical,worried,1,1,1,scared,1,1,2,happy,1,1,3,excited,1,1,1,mad,1,1,3,fun,1,0,2,Mispronunciation of blanket,1,1,1,hit,1,1,1,good,1,0,2,dangerous,1,0,1
62a47ba3f5c623f2b40c33ba,inanimate,lexical,unhappy,1,1,1,afraid,1,1,1,excited,1,1,1,nervous,1,1,2,mad,1,1,1,programmed,1,0,1,an object,1,1,1,cook,1,1,1,good,1,0,1,dangerous,1,0,1
5dd6acddb2204f630544ac50,inanimate,lexical,happy,1,1,1,cat,0,0,1,happy,1,1,1,sad,1,1,1,angry,1,1,1,happy,1,1,1,sweets,1,1,1,ring,1,1,1,fun,1,0,1,normal,1,0,2
5ed12a5eec9433042524d6ee,inanimate,lexical,worried,1,1,1,scared,1,1,2,happy,1,1,1,uncomfortable,1,0,1,mad,1,1,1,made,1,0,1,pens,1,1,1,make,1,1,1,fun,1,0,1,weird,1,0,1
5983b86106cd1f0001f8e283,inanimate,lexical,Warm,1,0,2,Dangerous,1,0,1,Useful,1,0,1,nervous,1,1,2,disappointed,1,1,1,Designed,1,0,3,Gloves,1,1,1,Find,1,1,1,Fun,1,0,3,Dangerous,1,0,2
5c4f133ee459660001e33c72,inanimate,lexical,"an adjective, feeling",1,1,1,scared,1,1,3,happy,1,1,2,scared,1,1,3,angry,1,1,2,excited,1,1,2,Some sort of physical product,1,1,1,play,1,1,1,pleasurable,1,0,2,dangerous,1,0,2
60392763efab5035af4abd8d,inanimate,lexical,upset,1,1,1,scared,1,1,2,happy,1,1,1,nervous,1,1,2,alarmed,1,1,1,designed,1,0,2,an object,1,1,1,brush,1,1,1,fun,1,0,1,safe,1,0,1
5f2eb1d21cdf492436120f62,inanimate,lexical,happy,1,1,2,wary,1,1,2,Warm,1,0,1,nervous,1,1,1,annoyed,1,1,2,[blank],n/a,n/a,1,Pens,1,1,1,Light,1,1,1,Fun,1,0,3,Flower,1,0,1
5b905d47e057280001e4af42,inanimate,lexical,uncomfortable,1,0,2,afraid,1,1,3,happy,1,1,3,upset,1,1,2,angry,1,1,4,happy,1,1,3,hat,1,1,2,touch,1,1,3,fun,1,0,3,unsafe,1,0,3
5c18e4f1e23c230001bb615f,inanimate,lexical,happy,1,1,1,scared,1,1,2,pleased,1,1,1,nervous,1,1,1,angry,1,1,2,good,1,0,2,Something personal but perhaps expensive or hard to come by,1,1,1,stroke,1,1,1,comforting,1,0,1,ok,1,0,1
5ff090bc539a38452f1f9a06,inanimate,lexical,affected,1,0,1,afraid,1,1,1,shiny,1,0,2,resistant,1,0,2,angry,1,1,2,likely,1,0,1,keys,1,1,1,hit,1,1,2,fun,1,0,2,dangerous,1,0,2
5f0049efc573a300096568f7,inanimate,lexical,informative,1,0,1,scared,1,1,2,warm,1,0,2,nervous,1,1,3,angry,1,1,1,fun,1,0,1,fountain pens,1,1,1,drive,1,1,1,relaxing,1,0,2,dangerous,1,0,3
57985ec2913c71000197610d,inanimate,lexical,annoyed,1,1,1,scared,1,1,1,happy,1,1,1,worried,1,1,2,angry,1,1,1,excited,1,1,1,Hat,1,1,1,throw,1,1,2,therapy,0,0,2,dangerous,1,0,2
5a453d59b77a5000014a85c7,inanimate,lexical,worried,1,1,1,scared,1,1,2,happy,1,1,2,nervous,1,1,2,Precious,1,0,1,Fun,1,0,2,Pockets,1,1,1,Hit,1,1,1,Fun,1,0,3,Dangerous,1,0,2
592a836f6109cd00010bc414,inanimate,lexical,Cosy,1,0,2,free from animal products,1,0,2,cool,1,0,2,anxious,1,1,2,anoyed,1,1,2,able,1,0,2,Books,1,1,2,ride,1,1,1,relaxing,1,0,2,good,1,0,1
63e543776175d50494dd5efd,inanimate,lexical,upset,1,1,2,scared,1,1,3,glad,1,1,3,apprehensive,1,1,3,annoyed,1,1,4,designed,1,0,1,Pens,1,1,1,hit,1,1,3,Good,1,0,2,Bad,1,0,3
5f6a4e9f9b08d50eef23534d,inanimate,lexical,adjec,1,0,1,a kind of instrument,0,0,2,happy,1,1,1,shy,1,1,3,confidence,0,0,1,excellent,1,0,3,objects idk,1,1,1,break,1,1,2,easy,1,0,2,common,1,0,1
5a986d1789de8200013ef74e,inanimate,lexical,sad,1,1,1,scared,1,1,2,happy,1,1,2,anxious,1,1,2,annoyed,1,1,2,designed,1,0,2,pens,1,1,1,eaten,1,0,1,relaxing,1,0,2,safe,1,0,1
5acbd7530527ba0001c265e7,inanimate,lexical,crazy,1,1,1,afraid,1,1,2,happy,1,1,2,nervous,1,1,2,annoyed,1,1,2,excited,1,1,1,Tablet,1,1,2,play,1,1,1,enjoyable,1,0,2,normal,1,0,1
57a0a143913c710001976735,inanimate,lexical,negative,1,1,1,scared,1,1,1,happy,1,1,1,anxious,1,1,1,angry,1,1,1,easy,1,0,1,[blank],n/a,n/a,1,eaten,1,0,1,exciting,1,0,1,good,1,0,1
60952cf5021566048602c467,inanimate,lexical,unhappy,1,1,2,afraid,1,1,3,pleased,1,1,2,wary,1,1,3,upset,1,1,3,eager,1,1,1,mints,1,1,1,hit,1,1,2,fun,1,0,3,dangerous,1,0,1
60c620563db55cd06f3772fa,inanimate,lexical,Sensitive,1,0,3,sensitive,1,0,2,happy,1,1,4,scared,1,1,3,mad,1,1,2,dizzy,1,0,2,Pimples,1,1,1,play,1,1,1,Good,1,0,4,Safe,1,0,3
