,,,DAXY 1,DAXY 1,DAXY 1,DAXY 1,DAXY 2,DAXY 2,DAXY 2,DAXY 2,DAXY 3,DAXY 3,DAXY 3,DAXY 3,DAXY 4,DAXY 4,DAXY 4,DAXY 4,WILPY 1,WILPY 1,WILPY 1,WILPY 1,WILPY 2,WILPY 2,WILPY 2,WILPY 2,WILPY 3,WILPY 3,WILPY 3,WILPY 3,WILPY 4,WILPY 4,WILPY 4,WILPY 4,BRISPY 1,BRISPY 1,BRISPY 1,BRISPY 1,BRISPY 2,BRISPY 2,BRISPY 2,BRISPY 2,BRISPY 3,BRISPY 3,BRISPY 3,BRISPY 3,BRISPY 4,BRISPY 4,BRISPY 4,BRISPY 4,SPOOVY 1,SPOOVY 1,SPOOVY 1,SPOOVY 1,SPOOVY 2,SPOOVY 2,SPOOVY 2,SPOOVY 2,SPOOVY 3,SPOOVY 3,SPOOVY 3,SPOOVY 3,SPOOVY 4,SPOOVY 4,SPOOVY 4,SPOOVY 4,GORMY 1,GORMY 1,GORMY 1,GORMY 1,GORMY 2,GORMY 2,GORMY 2,GORMY 2,GORMY 3,GORMY 3,GORMY 3,GORMY 3,GORMY 4,GORMY 4,GORMY 4,GORMY 4,MODI 1,MODI 1,MODI 1,MODI 1,MODI 2,MODI 2,MODI 2,MODI 2,MODI 3,MODI 3,MODI 3,MODI 3,MODI 4,MODI 4,MODI 4,MODI 4
5ecddcf366133c160b7437b7,animate,bleached,hungry,1,0,2,enthusiastic,1,1,2,happy,1,1,1,excited,1,1,2,fun,1,0,2,scared,1,1,2,scared,1,1,3,scared,1,1,3,athletic,1,0,1,nervous,1,1,2,annoyed,1,1,2,annoyed,1,1,3,talented,1,0,1,excited,1,1,2,excited,1,1,2,excited,1,1,2,happy,1,1,1,scared,1,1,1,fun,1,0,3,fun,1,0,3,mints,1,1,1,phones,1,1,1,books,1,1,1,hankerchiefs,1,1,1
6393fc93a0aea03630708b06,animate,bleached,nice,1,0,1,passionate,1,1,1,certain,1,1,1,excited,1,1,1,Fun,1,0,1,afraid,1,1,1,afraid,1,1,1,nervous,1,1,1,Energetic,1,0,1,happy,1,1,1,angry,1,1,1,angry,1,1,1,Talented,1,0,1,happy,1,1,1,happy,1,1,1,happy,1,1,1,Interesting,1,0,1,Nice,1,0,1,Fun,1,0,1,Nice,1,0,1,Book,1,1,1,Book,1,1,1,Book,1,1,1,Pen,1,1,1
60b6a586bbb419abdae29459,animate,bleached,sick,1,0,1,excited,1,1,1,excited,1,1,2,excited,1,1,2,grumpy,1,1,1,thinking,0,0,1,sure,1,1,2,scared,1,1,3,tired,1,0,1,concerned,1,1,1,mad,1,1,3,mad,1,1,4,nervous,1,1,2,nervous,1,1,1,nervous,1,1,2,nervous,1,1,1,sad,1,1,1,sad,1,1,2,sad,1,1,1,sad,1,1,1,sweets,1,1,1,sweets,1,1,2,sweets,1,1,2,sweets,1,1,2
5ec37264194de71cb7b82637,animate,bleached,pretty,1,0,2,happy,1,1,3,happy,1,1,3,excited,1,1,3,sad,1,1,2,sad,1,1,2,nervous,1,1,3,scared,1,1,2,risky,1,0,1,scared,1,1,[blank],mad,1,1,3,upset,1,1,2,adventurous,1,0,1,happy,1,1,2,excited,1,1,3,happy,1,1,2,weird,1,0,1,uncomfortable,1,0,1,scary,1,0,3,scary,1,0,3,money,1,0,1,candy,1,0,2,candy,1,0,2,candy,1,0,2
5bdc538e2b9e8d0001b9fbbf,animate,bleached,hungry,1,0,1,interested,1,1,1,worried,1,1,1,worried,1,1,1,playful,1,0,2,interested,1,1,1,worried,1,1,2,excited,1,1,2,playful,1,0,1,concerned,1,1,1,angry,1,1,2,angry,1,1,2,trendy,1,0,1,concerned,1,1,1,rushing,0,0,1,upset,1,1,1,outgoing,1,0,1,trendy,1,0,1,fashionable,1,0,2,fashionable,1,0,2,food,1,0,1,toys,1,1,1,food,1,0,1,lollies,1,1,1
596386246e30d40001a8c3fc,animate,bleached,cool,1,0,2,excited,1,1,2,excited,1,1,2,excited,1,1,3,fun,1,0,2,scared,1,1,2,worried,1,1,2,worried,1,1,1,fun,1,0,1,annoyed,1,1,2,annoyed,1,1,3,annoyed,1,1,3,funny,1,0,1,excited,1,1,2,excited,1,1,3,excited,1,1,3,sporty,1,0,1,fun,1,0,2,fun,1,0,2,fun,1,0,3,Headphones,1,1,1,snacks,1,1,1,devices,1,1,1,collectable figures,1,1,1
607ba9f40639e8a2c931d622,animate,bleached,funny,1,0,1,excited,1,1,2,excited,1,1,2,excited,1,1,3,young,1,0,1,afraid,1,1,1,worried,1,1,2,afraid,1,1,1,athletic,1,0,1,bossy,1,0,1,angry,1,1,2,angry,1,1,2,smart,1,0,1,happy,1,1,1,happy,1,1,1,annoyed,1,1,2,happy,1,1,1,lucky,1,0,1,scary,1,0,1,brave,1,0,2,food,1,0,1,book,1,1,1,book,1,1,1,book,1,1,1
63bcb6f97c75334718eb8fc8,animate,bleached,fat,1,0,1,upset,1,1,1,upset,1,1,2,meant to be,1,0,1,Athletic,1,0,1,wary,1,1,1,worried,1,1,2,wary,1,1,1,wet,1,0,1,mad,1,1,2,mad,1,1,3,mad,1,1,4,talented,1,0,1,excited,1,1,2,excited,1,1,3,excited,1,1,1,pretty,1,0,2,upseting,1,0,1,fun,1,0,1,fun,1,0,2,writing insturment,1,1,2,writing instrument,1,1,2,Writing instrument ,1,1,2,Writing instrument ,1,1,3
5eca7a483cd05100084ef351,animate,bleached,fragile,1,0,1,unsure,1,1,2,worried,1,1,1,excited,1,1,1,energetic,1,0,2,concerned,1,1,1,concerned,1,1,3,excited,1,1,1,crazy,1,1,2,angry,1,1,1,angry,1,1,3,angry,1,1,4,groovy,1,0,1,confident,1,1,2,rushing,0,0,1,hyper,1,0,1,outdoor lover,0,0,2,risky,1,0,1,risky,1,0,2,risky,1,0,3,an object or thing ,1,1,2,things to play with,1,1,[blank],a fun game,1,1,1,a game that you can have more than one of,1,1,1
55d4c46f58c35800113dc131,animate,bleached,happy,1,1,1,happy,1,1,2,happy,1,1,2,excited,1,1,2,playful,1,0,1,sad,1,1,1,anxious,1,1,1,anxious,1,1,1,athletic,1,0,1,happy,1,1,1,angry,1,1,2,angry,1,1,2,silly,1,0,1,sad,1,1,1,excited,1,1,1,happy,1,1,1,happy,1,1,1,exciting,1,0,1,fun,1,0,2,exciting,1,0,1,Sweets,1,1,1,Hair ties,1,1,1,pen,1,1,1,pen,1,1,1
5c59baa95e09ea00015521d9,animate,bleached,hungry,1,0,1,happy,1,1,1,happy,1,1,2,excited,1,1,2,Fun,1,0,1,scared,1,1,1,scared,1,1,3,scared,1,1,2,Sporty,1,0,1,annoyed,1,1,1,annoyed,1,1,2,annoyed,1,1,3,Cool,1,0,1,excited,1,1,1,excited,1,1,2,excited,1,1,1,Gorgeous,1,0,1,Nice,1,0,1,Nice,1,0,2,Nice,1,0,3,Pads,1,1,1,Pads,1,1,1,Phone,1,1,1,Key,1,1,1
5c122026e6eb4e0001b2ec82,animate,bleached,it is the hobby he does,0,0,1,an emotion,1,1,3,an emotion,1,1,3,an emotion,1,1,3,energetic,1,0,3,happy,1,1,2,excited,1,1,2,excited,1,1,3,athlectic,1,0,3,upset,1,1,2,upset,1,1,3,mad,1,1,3,confident,1,1,3,excited,1,1,2,excited,1,1,3,excited,1,1,2,energetic,1,0,1,scary,1,0,1,scary,1,0,2,special,1,0,1,an object,1,1,2,small objects,1,1,2,collectible objects,1,1,3,collectible objects,1,1,3
5c105e2757fd11000127e60f,animate,bleached,hungry,1,0,3,enthusiastic,1,1,2,enthusiastic,1,1,3,happy,1,1,3,fun,1,0,1,scared,1,1,2,scared,1,1,2,anxious,1,1,2,athletic,1,0,2,excited,1,1,2,angry,1,1,3,angry,1,1,3,hot,1,0,3,happy,1,1,2,happy,1,1,2,happy,1,1,2,fun,1,0,1,fun,1,0,2,fun,1,0,3,attractive,1,0,3,a novel product,1,1,2,a new product,1,1,2,object for sale,1,1,3,a desirable object,1,1,3
5a5bed3a76d1c60001ab3c4c,animate,bleached,handsome,1,0,2,excited by,1,1,2,confident,1,1,3,excited,1,1,2,Active,1,0,4,"A fan of, Into",0,0,1,nervous,1,1,2,determined,1,1,2,calm,1,1,2,nervous,1,1,1,mad,1,1,2,salty,1,1,2,Artsy,1,0,3,confident,1,1,2,happy,1,1,2,excited,1,1,1,Creative,1,0,1,Dangerous,1,0,2,Gross,1,0,3,Frowned upon,1,0,1,Lipstick,1,1,2,Lipsticks,1,1,1,Beanie Babies/Toys,1,1,1,Toys/Stuffed Animals,1,1,2
63bb79aed472669f48be40cd,animate,bleached,overweight,1,0,1,upset,1,1,2,upset,1,1,2,excited,1,1,2,adventurous,1,0,1,afraid,1,1,2,afraid,1,1,2,afraid,1,1,2,sporty,1,0,1,anxious,1,1,2,angry,1,1,2,angry,1,1,3,musical,1,0,1,excited,1,1,1,excited,1,1,2,excited,1,1,2,fit,1,0,1,happy,1,1,1,enjoyable,1,0,1,nice,1,0,1,glasses,1,1,1,pens,1,1,2,pens,1,1,2,pens,1,1,2
5f0b1c32d61a4a0490b557f1,animate,bleached,shy,1,1,2,unsure,1,1,1,unsure,1,1,2,[blank],n/a,n/a,1,[blank],n/a,n/a,1,scared,1,1,2,worried,1,1,3,[blank],n/a,n/a,1,uneasy,1,1,2,uneasy,1,1,2,uneasy,1,1,2,uneasy,1,1,3,Cool,1,0,2,[blank],n/a,n/a,1,spooked,1,1,1,spooked,1,1,2,Boring ,1,0,2,Boring,1,0,3,Boring ,1,0,3,Boring ,1,0,2,Keys,1,1,1,Keys,1,1,1,Pens,1,1,1,Maybe pen,1,1,1
610a119246a1dd2a66ef2f5c,animate,bleached,always hungry,1,0,2,excited,1,1,1,happy,1,1,2,excited,1,1,2,adventurous,1,0,1,afraid,1,1,1,[blank],n/a,n/a,1,scared,1,1,2,energetic,1,0,1,worried,1,1,1,upset,1,1,2,angry,1,1,2,funny,1,0,1,happy,1,1,1,happy,1,1,2,happy,1,1,2,nervous,1,1,1,silly,1,0,1,[blank],n/a,n/a,1,inappropriate,1,0,2,school supplies ,1,1,1,snack,1,0,1,food item,1,1,1,[blank],n/a,n/a,1
615c17dac17d529070394f43,animate,bleached,Greedy,1,0,1,excited,1,1,1,excited,1,1,3,excited,1,1,3,Young,1,0,1,scared,1,1,2,scared,1,1,3,scared,1,1,3,Healthy,1,0,1,jealous,1,1,2,angry,1,1,2,angry,1,1,3,Musically Talented ,1,0,1,concerned,1,1,1,nervous,1,1,2,nervous,1,1,2,Athletic ,1,0,1,Fortunate,1,0,1,Good for you,1,0,1,Good for you,1,0,2,Shoes,1,1,1,Drinks,1,1,1,Drinks,1,1,2,Drinks,1,1,2
5d54d5d907e8740018e56545,animate,bleached,crazy,1,1,1,crazy,1,1,1,happy,1,1,2,happy,1,1,2,Fun,1,0,1,scared,1,1,[blank],scared,1,1,2,scared,1,1,2,happy,1,1,1,worried,1,1,1,upset,1,1,1,worried,1,1,1,Unknown,1,0,1,suspicious,1,1,1,anxious,1,1,2,anxious,1,1,2,Fun,1,0,1,Fun,1,0,1,Scary,1,0,1,Scary,1,0,1,Something bought,1,0,1,Toys,1,1,1,[blank],n/a,n/a,1,An idea or thought,1,1,1
6295040e6fecb5e08234c8cd,animate,bleached,Cool/ nice,1,0,2,curious,1,1,1,Curious ,1,1,2,Anxious,1,1,1,exciting,1,0,1,[blank],n/a,n/a,1,anxious,1,1,1,wants,0,0,1,slick,1,0,1,worried,1,1,1,mad,1,1,2,mad,1,1,2,fun,1,0,1,thinking ,0,0,1,anxious,1,1,2,anxious,1,1,1,interesting,1,0,1,[blank],n/a,n/a,1,fun,1,0,2,fun,1,0,1,Snacks,1,1,1,[blank],n/a,n/a,1,Cameras,1,1,1,Candy,1,0,1
5f84b0568b326614c2194498,animate,bleached,an ethnci,0,0,1,enthusiastic,1,1,2,enthusiastic,1,1,1,eager,1,1,2,active,1,0,2,good at,1,0,1,fearful,1,1,3,fearful,1,1,1,athletic,1,0,2,fearful,1,1,1,angry,1,1,2,angry,1,1,3,cute,1,0,2,curious,1,1,1,eager,1,1,1,curious,1,1,1,nerdy,1,0,2,nerdy,1,0,1,nerdy,1,0,2,nerdy,1,0,2,food,1,0,1,food,1,0,1,a pastry,1,1,2,a treat,1,1,1
596d1cdfe81bf30001fe0533,animate,bleached,Sweet-toothed,1,0,2,obsessed by something,1,1,2,certain,1,1,2,excited,1,1,2,hates outdoors,0,0,1,afraid,1,1,1,scared,1,1,2,scared,1,1,2,swimmer,0,0,1,worried,1,1,1,angry,1,1,2,angry,1,1,2,musical,1,0,2,suspicious,1,1,1,waiting,0,0,1,annoyed,1,1,1,An,0,0,1,walking,0,0,1,horrible,1,0,1,disgusting,1,0,1,bags,1,1,1,pockets for mobiles,1,1,2,Biscuits/snacks,1,1,1,Drinks,1,1,1
5d6de63201523a0001f51f27,animate,bleached,hungry,1,0,1,crazy,1,1,1,mad,1,1,2,mad,1,1,1,energetic,1,0,2,afraid,1,1,1,afraid,1,1,3,afraid,1,1,2,fit,1,0,2,happy,1,1,1,angry,1,1,1,angry,1,1,2,happy,1,1,1,happy,1,1,2,happy,1,1,2,happy,1,1,3,healthy,1,0,1,healthy,1,0,1,healthy,1,0,2,healthy,1,0,3,books,1,1,1,books,1,1,2,books,1,1,2,books,1,1,2
6024b96760d68a1e5aad80b0,animate,bleached,Sweet tooth,1,0,1,crazy,1,1,1,sure,1,1,1,excited,1,1,1,Outdoorsy,1,0,1,certain,1,1,1,certain,1,1,2,excited,1,1,1,short,1,0,1,angry,1,1,1,angry,1,1,2,angry,1,1,3,kooky,1,0,1,curious,1,1,1,excited,1,1,1,excited,1,1,1,hungry,1,0,1,lovely,1,0,2,nice,1,0,2,nice,1,0,3,Candy,1,0,1,Candy,1,1,1,Candy,1,0,1,Candy,1,0,1
5edf9c64ecf5a026f9fd3464,animate,bleached,Tall,1,0,2,suspicious,1,1,2,suspicious,1,1,3,determined,1,1,3,Small,1,0,2,scared,1,1,2,scared,1,1,3,scared,1,1,4,Fast,1,0,3,jealous,1,1,2,annoyed,1,1,3,annoyed,1,1,3,Fun,1,0,1,excited,1,1,2,excited,1,1,3,excited,1,1,3,Smart,1,0,2,Smart,1,0,1,Smart,1,0,2,Smart,1,0,3,Mints,1,1,1,Cards,1,1,1,Books,1,1,2,Books,1,1,2
63bca22d6fa8440663c937f1,animate,bleached,Quiet,1,0,2,sad,1,1,2,upset,1,1,3,excited,1,1,3,shy,1,1,1,worried,1,1,3,worried,1,1,4,worried,1,1,3,Smart ,1,0,2,worried,1,1,3,upset,1,1,2,worried,1,1,3,Clumsy ,1,0,1,curious,1,1,2,excited,1,1,1,anxious,1,1,1,Hyper,1,0,1,uncomfortable,1,0,1,stressed,1,1,2,uncomfortable ,1,0,1,An Item prob lipstick,1,1,2,Pens (an item),1,1,2,Markers,1,1,2,Markers,1,1,1
631a0fe0eb6a5b8c1f501d22,animate,bleached,happy,1,1,2,interested in something,1,1,2,adamant,1,1,2,happy,1,1,1,clumsy,1,0,1,scared,1,1,1,scared somethings happening,1,1,2,excited,1,1,2,jolly,1,1,[blank],jolly,1,1,[blank],happy,1,1,2,exciting,1,0,2,quirky,1,0,2,certain,1,1,1,nervous,1,1,3,nervous,1,1,1,intelligent,1,0,1,awkward,1,0,2,awkward,1,0,3,awkward,1,0,3,type of medicine,1,0,2,type of sweets,1,1,2,type of objects,1,1,2,little trinkets,1,1,2
6116c9e9f3490c79002fda6e,animate,bleached,fun,1,0,1,interesting,1,1,1,excited,1,1,1,excited,1,1,2,athletic,1,0,1,needy,1,0,1,worried,1,1,1,wanting,0,0,1,moderately insane,1,0,1,angry,1,1,1,angry,1,1,2,upset,1,1,2,musically inclined,1,0,1,vaguely nauseated,0,0,1,anxious,1,1,2,anxious,1,1,2,handsome,1,0,1,cool,1,0,1,cool,1,0,2,cool,1,0,2,books,1,1,1,book,1,1,1,book,1,1,1,book,1,1,1
63947b43e8f68b80a20b6c06,animate,bleached,"hungry, a sweet tooth, ",1,0,1,an emotion,1,1,2,worried,1,1,[blank],worried,1,1,2,emotion or attribute,1,1,1,scared,1,1,2,scared,1,1,2,excited,1,1,2,fit,1,0,2,upset,1,1,2,upset,1,1,3,annoyed,1,1,3,musical,1,0,1,excited,1,1,2,excited,1,1,1,excited,1,1,2,big,1,0,1,fun,1,0,2,fun,1,0,2,fun,1,0,2,"headphone, pencilsm",1,1,1,"pencils, drink bottle, book",1,1,1,"book, device, ",1,1,1,book,1,1,2
5f64bdfa92434501c26dfca5,animate,bleached,Friendly,1,0,3,curious,1,1,4,inquisitive,1,1,4,anxious,1,1,2,nice,1,0,2,curious,1,1,2,sure,1,1,2,sure,1,1,3,easygoing,1,0,1,curious,1,1,2,annoyed,1,1,2,annoyed,1,1,3,funny,1,0,1,scared,1,1,2,eager,1,1,3,curious,1,1,1,beautiful,1,0,1,being cool,1,0,2,being cool,1,0,4,being very cool,1,0,4,An object,1,1,3,An object,1,1,3,still an object,1,1,4,lots of things,1,1,2
5bf769ac2dd20c00013188d1,animate,bleached,Hungry,1,0,3,Handsome,1,0,2,concerned,1,1,3,hurried,1,0,1,stressed,1,1,1,Less,1,0,1,worried,1,1,4,worried,1,1,2,Natural,1,0,1,upset,1,1,2,mad,1,1,3,mad,1,1,3,Talented,1,0,2,excited,1,1,3,excited,1,1,4,excited,1,1,3,beautiful ,1,0,2,[blank],n/a,n/a,[blank],fulfilling,1,0,1,unlickely,1,0,1,Remote,1,1,1,Candy,1,0,2,Candy,1,0,2,Candies,1,1,1
5f5c983ce742b548181ef1e7,animate,bleached,very playful,1,0,1,crazy for something,1,1,1,very sure,1,1,1,happy,1,1,1,playful,1,0,1,playful,1,0,1,sure,1,1,[blank],sure,1,1,1,[blank],n/a,n/a,1,scared,1,1,1,scared,1,1,1,scared,1,1,1,likes to sing,0,0,1,certain,1,1,1,excited,1,1,1,scared,1,1,1,sick,1,0,1,sickening,1,0,[blank],sick,1,0,1,safe,1,0,1,[blank],n/a,n/a,[blank],extra stuff,1,0,1,extra things,1,1,1,extra things,1,1,1
5dcfdf449b61040e3b923621,animate,bleached,Sweet toothed,1,0,1,obsessed,1,1,1,[blank],n/a,n/a,4,Has to be,0,0,1,Outgoing,1,0,2,confident,1,1,1,confident,1,1,2,happy,1,1,2,Athletic,1,0,1,Opinionated,1,0,1,stressed,1,1,1,stressed,1,1,1,Musical,1,0,1,[blank],n/a,n/a,4,happy,1,1,2,happy,1,1,1,Adventurous ,1,0,1,Adventurous ,1,0,2,Adventurous ,1,0,2,Adventurous ,1,0,2,Things,1,1,1,Compartments,1,1,1,[blank],n/a,n/a,3,Personal belongings,1,1,1
566e1aec744e3e0005b4e668,animate,bleached,Hungry,1,0,1,crazy,1,1,1,suspicious,1,1,1,eager,1,1,1,Playful,1,0,1,afraid,1,1,1,afraid,1,1,2,afraid,1,1,1,Nice,1,0,1,anxious,1,1,1,angry,1,1,2,angry,1,1,3,Tired,1,0,1,glad,1,1,1,glad,1,1,2,happy,1,1,2,Athletic,1,0,1,Stupid,1,0,1,Fun,1,0,1,Silly,1,0,1,Sweets,1,1,1,Cake,1,1,1,Cake,1,1,1,Cake,1,1,1
61577ade2c21809207c56385,animate,bleached,[blank],n/a,n/a,1,excited,1,1,1,upset,1,1,1,excited,1,1,2,upset,1,1,1,upset,1,1,1,excited,1,1,1,excited,1,1,1,athletic,1,0,1,excited,1,1,1,pleased,1,1,1,pleased,1,1,2,musical,1,0,2,excited,1,1,2,excited,1,1,1,excited,1,1,2,[blank],n/a,n/a,1,healthy,1,0,1,educational,1,0,1,healthy,1,0,1,shoes,1,1,1,handbags,1,1,1,handbags,1,1,1,handbags,1,1,1
