,,,MODI,MODI,MODI,MODI,MODI,MODI,MODI,MODI,DAXY,DAXY,DAXY,DAXY,DAXY,DAXY,DAXY,DAXY,WILPY,WILPY,WILPY,WILPY,WILPY,WILPY,WILPY,WILPY,GORMY,GORMY,GORMY,GORMY,GORMY,GORMY,GORMY,GORMY,BRISPY,BRISPY,BRISPY,BRISPY,BRISPY,BRISPY,BRISPY,BRISPY,SPOOVY,SPOOVY,SPOOVY,SPOOVY,SPOOVY,SPOOVY,SPOOVY,SPOOVY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5c5df997d7b842000156544f,animate,bleached,Keys,1,books,1,books,1,books,1,friendly,0,happy,1,happy,1,excited,1,nice,0,scared,1,excited,1,excited,1,happy,1,scary,0,scary,0,scary,0,sporty,0,scared,1,annoyed,1,annoyed,1,happy,1,excited,1,excited,1,excited,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5aad226f811b2000016f6be2,animate,bleached,toys,1,books,1,oranges,1,vitamins,1,hungry,0,crazy,1,happy,1,happy,1,happy,1,scared,1,nervous,1,anxious,1,[blank],n/a,scary,0,scary,0,scary,0,wet,0,nervous,1,upset,1,upset,1,funny,0,sure,1,afraid,1,nervous,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5f29eff59714081a3594a331,animate,bleached,"Sweet, books",1,"Sweets, cookies",1,"Sweets, cookies",1,"Sweets, cookies",1,"Dark, Black",0,confident,1,confident,1,confident,1,Athletic,0,curious,1,afraid,1,afraid,1,Athletic,0,Good,0,Good,0,Good,0,Athletic,0,happy,1,happy,1,Happy,1,"Funny, ",0,happy,1,happy,1,happy,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5f29eff59714081a3594a331,animate,bleached,,,,,,,,,,,knowledgeable,0,knows,0,sure,1,sporty,0,,,curious,1,curious,1,fit,0,nice,0,nice,0,nice,0,funny,0,,,,,joyful,1,,,gloomy,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5f29eff59714081a3594a331,animate,bleached,,,,,,,,,,,,,,,,,,,,,scared,1,,,active,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5e3a198a0e532424396e094f,animate,bleached,Stuffie,1,mini stuffed animal,1,writing utensil,1,writing utensils,1,hungry,0,excited,1,excited,1,happy,1,outdoorsy,0,worried,1,worried,1,excited,1,beautiful,0,cool,0,scary,0,scary,0,sporty,0,worried,1,mad,1,mad,1,groovy,0,worried,1,excited,1,annoyed,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5b846b97d0315b0001d30ea2,animate,bleached,maybe a type of toy? ,1,a type of collectable,1,still types of collexctab;es,1,still sticking with collectables,1,full?,0,full,0,angry,1,excited,1,happy,1,worthy,0,excited,1,excited,1,[blank],n/a,fun,0,fun,0,fun,0,friendly,0,angry,1,angry,1,angry,1,kind,0,excited,1,excited,1,happy,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
59772b1c1a5010000184a987,animate,lexical,oranges,1,oranges,1,oranges,1,oranges,1,hungry,0,upset,1,upset,1,sad,1,playful,0,scared,1,scared,1,scared,1,sporty,0,fun,0,fun,0,fun,0,fast,0,angry,1,angry,1,angry,1,creative,0,happy,1,happy,1,happy,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6318db5e70498ce49da545cd,animate,lexical,tampon,1,tissue,1,food,0,money,1,[blank],n/a,unhappy,1,angry,1,annoyed,1,sad,1,scared,1,afraid,1,scared,1,happy,1,fun,0,fun,0,fun,0,brave,0,happy,1,annoyed,1,annoyed,1,energetic,0,excited,1,happy,1,happy,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
61322140be210a5f6738e764,animate,lexical,"A noun, a small object",1,"A noun, very small object ",1,Stationary Equipment,0,small object maybe a fruit or writing items,1,fun,0,happy,1,happy,1,happy,1,joyful,1,scared,1,scared,1,scared,1,Active,0,Fun,0,Fun,0,Fun,0,Active,0,angry,1,angry,1,annoyed,1,happy,1,happy,1,delighted,1,happy,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6346e12e643544b86b5b427c,animate,lexical,Imodium,0,Imodium/drugs,1,Imodium/drug,0,imodium /drug,0,greedy,0,sad,1,sad,1,sad,1,[blank],n/a,scared,1,scared,1,scared,1,Fun,0,Fun,0,fun,0,fun,0,fun,0,worried,1,annoyed,1,angry,1,confident,1,happy,1,happy,1,happy,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6346e12e643544b86b5b427c,animate,lexical,,,,,,,,,,,,,,,,,,,,,,,afraid,1,,,,,,,exciting,0,,,,,frustrated,1,annoyed,1,,,,,excited,1,excited,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6346e12e643544b86b5b427c,animate,lexical,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,angry,1,frustrated,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
613a4d95865f9cc247eefaa4,animate,lexical,Sweet,0,Things,1,Sweets,1,Sweets,1,Hungry,0,sad,1,sad,1,sad,1,happy,1,afraid,1,afraid,1,afraid,1,tired,0,Fun,0,Fun,0,Fun,0,Fast,0,angry,1,angry,1,angry,1,Weird,0,happy,1,happy,1,happy,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
61bb384140db417c1a138c01,animate,lexical,Tampon,1,Tampons,1,Hairband,1,Hairband,1,Growing,0,upset,1,unhappy,1,unhappy,1,depressed,1,scared,1,scared,1,terrified,1,Gross,0,Horrible,0,Tiring,0,Tiring,0,Sporty,0,excited,1,annoyed,1,annoyed,1,Cool,0,happy,1,excited,1,excited,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
59360314da541f000146f49f,animate,lexical,a type of food,0,a type of food,1,instrument or tool,1,tools,1,funny,0,unhappy,1,unhappy,1,happy,1,energetic,0,scared,1,hopeful,1,excited,1,happy,1,fun ,0,fun ,0,fun ,0,athletic ,0,excited,1,happy,1,happy,1,quirky,0,excited,1,happy,1,happy,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
558bafe0fdf99b21155f2da0,animate,lexical,Snack food,0,collector item,1,collector's item,1,collector's item,1,good,0,"fine with, okay",1,okay with,1,okay with,1,childish,0,childlike,0,excited,1,giddy,1,outdoorsy,0,nostalgic,1,nostalgic,1,nostalgic,1,athletic,0,open to,0,open with,0,honest,0,curious,1,exciteful,1,excited,1,excited,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
558bafe0fdf99b21155f2da0,animate,lexical,,,,,,,,,fun,0,,,,,,,,,good,0,childish,0,exciteful,1,,,,,old fashioned,0,excited,1,fun,0,willing,1,willing,1,open with,0,childish,0,childish,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
558bafe0fdf99b21155f2da0,animate,lexical,,,,,,,,,personable,0,,,"feels okay, not bad",0,fine,1,,,likes something,0,giddy,1,excited,1,,,,,,,,,,,,,adventurous,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5c8fffda2d8c5900142f97ae,animate,lexical,pets,1,pets,1,pets,1,food,0,hungry,0,anxious,1,sure,1,unsure,1,adventurous,0,wary,1,scared,1,wary,1,happy,1,fun,0,fun,0,fun,0,fit,0,anxious,1,mad,1,unhappy,1,fun,0,happy,1,happy,1,happy,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
60bd67b25b216d6ff8fd0477,animate,lexical,pockets,1,[blank],n/a,tissues,1,tissues,1,hungry,0,happy,1,happy,1,happy,1,small,0,scared,1,scared,1,scared,1,pretty,0,fun,0,fun,0,fun,0,short,0,nervous,1,angry,1,angry,1,groovy,0,happy,1,happy,1,happy,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5ec51173f4cd5243ad1fbb81,animate,lexical,trinket,1,electrical devices,1,drinks,1,phone,1,sweet-toothed,0,fussy,0,depressed,1,excited,1,energetic,0,loving,1,excited,1,excited,1,adventurous ,0,fun,0,fun,0,fun,0,athletic,0,cautious,1,angry,1,angry,1,happy,1,unhappy,1,happy,1,happy,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
60916367cd8a527daf10c690,animate,lexical,Sweets or some decorative items perhaps,1,Collectible items such as charms,1,"Flowers or pickable, collectible items",1,Flowers or some sort of wild collectible item,1,Physically unique or interesting in some way; tall perhaps,0,"A feeling, maybe cold or depressed",1,upset,1,feeling down about something ,1,A feeling ,1,afraid,1,excited,1,afraid,1,A feeling or physical feature,1,Frustrating,0,Annoying,0,Frustrating ,0,A feeling or physical feature ,0,worried,1,annoyed,1,annoyed,1,A feeling or physical feature ,1,happy,1,happy,1,happy,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
60916367cd8a527daf10c690,animate,lexical,,,,,,,,,,,,,blue (feeling down),1,,,physical feature,0,,,afraid,1,,,,,joyous,1,,,,,,,excited,1,,,,,,,,,relaxed,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
61087a2a957d0234ef638e61,animate,lexical,A new food ,0,Type of food,0,Food or item,1,Food ,0,Cool,0,worried,1,irritated,1,excited,1,adventurous ,0,scared,1,scared,1,scared,1,Healthy,0,fun,0,fun,0,fun,0,talented ,0,adamant,1,angry,1,angry,1,noisy ,0,happy,1,happy,1,happy,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5e57ddacf68518000bd3356b,animate,lexical,Type of food,0,Type of food,0,AN item,1,An item,1,Greedy,0,unsure about,1,unhappy,1,unhappy,1,Adventurous ,0,scared,1,scared,1,scared,1,Adventurous,0,Lovely,0,Stressful,0,Cool,0,Sporty,0,confident,1,angry,1,angry,1,Fun,0,happy,1,happy,1,happy,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
62694fbeede8c79c1b047e80,animate,lexical,tissues,1,pens,1,pen,1,pen,1,hungry,0,upset,1,upset,1,upset,1,sad,1,scared,1,excited,1,excited,1,sad,1,wonderful,0,wonderful,0,wonderful,0,happy,0,worried,1,angry,1,angry,1,cheerful,1,cheerful,1,happy,1,happy,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
60296c1430d207888e65a0eb,animate,lexical,meds,1,toys,1,status symbol,1,fruit,0,craving sweets,0,bummed about,1,bummed about,1,bummed out about,1,sad,1,fond,1,excited,1,excited,1,sad,1,cheery,0,cheery ,0,cheery,0,stylish,0,worried,1,angry,1,angry,1,stylish,0,happy,1,happy,1,happy,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6238356bc0cff42b67a58c58,animate,lexical,something small in a bag,1,she has confident,0,[blank],n/a,you can have lots,1,hungry,0,worried,1,certain,1,upset,1,sad,1,scared,1,scared,1,scared,1,tired,0,fun,0,fun,0,fun,0,sporty,0,worried,1,angry,1,angry,1,musical,0,happy,1,happy,1,happy,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6238356bc0cff42b67a58c58,animate,lexical,,,,,,,,,,,,,,,,,,,,,worried,1,,,,,,,,,,,,,,,,,annoyed,1,,,pleased,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5f4a8c8347b9fe5082353a3c,animate,lexical,sweet,0,Sweet,1,Sweet,1,Sweet,1,hungry,0,worried,1,worried,1,worried,1,adventurous,0,scared,1,hopeful,1,excited,1,gormless,0,Fun,0,Fun,0,Fun,0,sporty,0,worried,1,angry,1,angry,1,groovy,0,happy,1,happy,1,happy,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5eed2e5c2c93d5142aa8fc0e,animate,lexical,sweets,1,books,1,books,1,books,1,cute,0,crazy,1,happy,1,sad,1,athletic,0,scared,1,scared,1,scared,1,funny,0,fun,0,fun,0,fun,0,cool,0,cool,0,angry,1,angry,1,musical,0,happy,1,happy,1,happy,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5ce45fdfb091340001f5d84b,animate,lexical,Some kind of food.,0,Some type of pen. ,1,Some type of pen. ,1,Some type of pen. ,1,Goodlooking. ,0,unhappy,1,unhappy,1,unhappy,1,Funny,0,scared,1,scared,1,scared,1,angry,1,Annoying,0,Annoying,0,Annoying,0,Fast. ,0,annoyed,1,angry,1,angry,1,Cool.,0,happy,1,happy,1,happy,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
63bc8d3bcf7082d87a3aca30,animate,lexical,Sweets,1,Book,1,Flowers,1,Flowers,1,Hungry,0,happy,1,glad,1,happy,1,Energetic,0,scared,1,scared,1,scared,1,Fit,0,Fun,0,Fun,0,Fun,0,Sporty,0,worried,1,angry,1,angry,1,Loud,0,pleased,1,pleased,1,pleased,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5e10faccfeea897bcd4c4e85,animate,lexical,pens,1,pens,1,pens,1,pens,1,dishy,0,concerned,1,sure,1,[blank],n/a,wealthy,0,afraid,1,afraid,1,afraid,1,gorgeous,0,lovely,0,lovely,0,lovely,0,wet,0,scared,1,annoyed,1,annoyed,1,groovy,0,happy,1,happy,1,happy,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
602b981a69d3542d219a442c,animate,lexical,snack ,1,chocolate bars,1,snack bar,1,snack bars,1,hungry,0,happy,1,happy,1,excited,1,small,0,fond,1,scared,1,scared,1,energetic,0,tiring,0,tiring,0,tiring,0,good swimmer,0,angry,1,mad,1,mad,1,jolly,1,glad,1,glad,1,glad,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
57507e67fcaa630007cb9ad2,animate,lexical,Glasses,1,Lipstick,1,Plastic Cup,1,Plastic Cups,1,Likes food,0,anxious,1,Irritated,1,irritated,1,Sociable,0,afraid,1,afraid,1,afraid,1,shy,1,Nice,0,Nice,0,Nice,0,anxious,1,worried,1,mad,1,mad,1,Talented,0,happy,1,happy,1,happy,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6368e44663ab624da3962b32,animate,lexical,Personal items,1,Potentially something spiritual or wholesome,1,Apple or fruit,1,Fruit of some sort,0,Diabetic ,0,worried,1,upset,1,Upset,1,Brave,0,interested,1,worried,1,excited,1,Athletic ,0,Nice ,0,Nice ,0,Nice,0,Athletic ,0,worried,1,angry,1,angry,1,Groovy ,0,happy,1,joyful,1,joyful,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6368e44663ab624da3962b32,animate,lexical,,,,,,,,,,,,,,,sad,1,,,,,,,,,,,,,,,beneficial,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5cc22c575a8d7e001526e9da,animate,lexical,Shoes,1,Food,0,Item of food,0,"oranges, apples",1,Handsome,0,excited,1,happy,1,happy,1,sad,1,a lover,0,excited,1,excited,1,happy,1,fun,0,fun,0,fun,0,happy,1,tentative,0,angry,1,angry,1,talented,0,happy,1,happy,1,happy,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
60a142ecc64d11f4ed537cb5,animate,lexical,pens,1,pens,1,towels,1,towels,1,tall,0,worried,1,annoyed,1,excited,1,happy,1,wary,1,wary,1,excited,1,calm,1,fun,0,fun,0,fun,0,brave,0,worried,1,angry,1,angry,1,goofy,0,happy,1,happy,1,happy,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
60a142ecc64d11f4ed537cb5,animate,lexical,,,,,,,,,nice,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5d1bd8a7601cd70001728db6,animate,lexical,Toy sweets candy ,1,Candy ,0,"Candy, food",0,"Candy, food",0,Foreign ,0,excited,1,excited,1,excited,1,curious,1,wary,1,excited,1,excited,1,Stupid,0,Weird ,0,Weird ,0,Strange ,0,Sporty,0,angry,1,mad,1,angry,1,Handsome ,0,happy,1,happy,1,happy,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5d1bd8a7601cd70001728db6,animate,lexical,,,,,,,,,,,,,,,,,,,fond,,,,happy,1,gullible,0,,,tiring,0,weird,0,fit ,0,unhappy,1,angry,1,mad,1,cute,0,glad,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5d1bd8a7601cd70001728db6,animate,lexical,,,,,,,,,,,glad,1,,,,,shy,1,scared,,,,,,,,,,,,,,,,mad,1,,,,,good looking,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5731b7f35b8b0600097c2d66,animate,lexical,book,1,book,1,book,1,book,1,hungry,0,upset,1,upset,1,afraid,1,playful,0,afraid,1,afraid,1,afraid,1,active,0,tiring,0,tiring,0,tiring,0,active,0,excited,1,mad,1,mad,1,loud,0,happy,1,happy,1,happy,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
638ca5a91357e72133182e9c,animate,lexical,sweets,1,its a thing,1,[blank],n/a,[blank],n/a,hungry,0,worried,1,annoyed,1,annoyed,1,happy,1,scared,1,scared,1,scared,1,sad,1,fun,0,fun,0,fun,0,cold,0,nervous,1,annoyed,1,angry,1,cool,0,happy,1,happy,1,happy,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5df553efef7f5e3c53056b2e,animate,lexical,Sweets,1,Maybe a toy,1,A type or treat or toy,1,A collectible,1,A descriptive word ,0,A feeling or emotion,1,upset,1,annoyed,1,Active,0,afraid,1,hopeful,1,excited,1,Hungry,0,Fun,0,Fun,0,Fun,0,Slow,0,nervous,1,annoyed,1,upset,1,Musical,0,happy,1,happy,1,happy,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5c79cc22f5b67c0012d5b9ed,animate,lexical,"book, item, object",1,"book, pen, item",1,"item, object, book",1,"pen, book",1,nice,0,excited,1,happy,1,unexcited,1,funny,0,afraid,1,afraid,1,wary,1,active,0,fun,0,tiring,0,fun,0,active,0,worried,1,angry,1,angry,1,fun,0,happy,1,happy,1,happy,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5c79cc22f5b67c0012d5b9ed,animate,lexical,,,,,,,,,,,,,,,,,nice,0,,,,,,,fun,0,tiring,0,noisy,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5c79cc22f5b67c0012d5b9ed,animate,lexical,,,,,,,,,funny,0,,,excited,1,not enjoy,0,keen,1,wary,,wary,1,excited,1,,,noisy,0,,,,,,,,,,,mad,1,,,glad,1,,,glad,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
610eed701307b477c5f8771e,animate,lexical,items,1,personal items,1,random objects,1,an item you can collect,1,hungry,0,sad,1,sad,1,sad,1,happy,1,scared,1,scared,1,scared,1,grumpy,0,tiring,0,tiring,0,tiring,0,cold,0,worried,1,angry,1,angry,1,happy,1,happy,1,happy,1,happy,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
637f89ffcbf20bd680c0d79e,animate,lexical,glasses fo,1,Pen,1,Pen Apple ,1,Pen Apple ,1,Hungry,0,angry ,1,annoyed,1,annoyed,1,happy,1,scared,1,scared,1,scared,1,Adventurous Happy Friendly,0,Nice ,0,Pleasant ,0,Nice,0,happy,1,curious,1,annoyed,1,angry,1,Weird,0,happy,1,happy,1,happy,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
637f89ffcbf20bd680c0d79e,animate,lexical,,,,,,,,,Silly,0,,,,,,,,,,,apprehensive,1,frightened,1,,,,,Nice,0,Pleasant,0,Friendly,0,interested,1,angry,1,annoyed,1,scared,1,delighted,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
637f89ffcbf20bd680c0d79e,animate,lexical,,,,,,,,,Funny,0,annoyed,1,disappointed,1,disappointed,1,Friendly,0,frightened,,frightened,1,,,,,,,,,,,,,happy,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
637f89ffcbf20bd680c0d79e,animate,lexical,,,,,,,,,,,,,,,,,Nice,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5c82e6982421a3001242eafe,animate,lexical,a thing ,1,money,1,speakers,1,pen,1,a nationality,0,angry,1,angry,1,annoyed,1,sad,1,wary,1,scared,1,scared,1,stupid,0,fun,0,fun,0,fun,0,chatty,0,worried,1,annoyed,1,annoyed,1,cool,0,happy,1,happy,1,happy,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5b9b3977cc5dd0000165ff0b,animate,lexical,A snack,1,A snack,1,A snack,1,A bracelet,1,Playful,0,happy,1,happy,1,happy,1,sad,1,scared,1,nervous,1,nervous,1,attractive,0,fun,0,Fun,0,Fun,0,Adventurous,0,nervous,1,mad,1,mad,1,calm,1,happy,1,happy,1,happy,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
60c3c8f790736ad8d329816b,animate,lexical,candies,1,chocolate bar,1,candy bars,1,candy bars,1,doll,0,moody,1,moody,1,moody,1,happy,1,afraid,1,happy,1,happy,1,bored,1,annoying,0,annoying,0,boring,0,nice,0,angry,1,angry,1,angry,1,playful,0,sad,1,bored,1,sad,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
63bc74f63269af3a7bfcec7c,animate,lexical,Products from a store,1,computer par,1,Food items,1,Snacks,1,"Sweet lover, likes to eat",0,unhappy,1,annoyed,1,unhappy,1,nice,0,excited,1,nervous,1,nervous,1,lover of nature and outdoors,0,fun,0,nerve-racking,0,frustrating,0,fun,0,happy,1,unhappy,1,annoyed,1,cool,0,happy,1,glad,1,cheerful,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
63bc74f63269af3a7bfcec7c,animate,lexical,,,,,,,,,,,,,unhappy,1,anxious,1,kind,0,scared,,excited,1,afraid,1,,,annoying,0,annoying,0,loud,0,cheerful,1,excited,1,mad,1,mad,1,fun,0,thrilled,1,happy,1,in a good mood,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
63bc74f63269af3a7bfcec7c,animate,lexical,,,,,,,,,,,,,sad,1,,,sweet,0,,,,,unhappy,1,,,,,,,,,happy,1,thrilled,1,frustrated,1,frustrated,1,cheerful,1,excited,1,,,happy,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
63bc74f63269af3a7bfcec7c,animate,lexical,,,,,,,,,,,unpleased,1,depressed,1,,,caring,0,,,,,,,,,,,,,,,,,,,disappointed,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
62a1e98aa066554d8ab25308,animate,lexical,something to eat,1,a piece of stationary,1,something to eat,0,something to eat,0,smart,0,likes it a lot,0,happy,1,excited,1,nice,0,scared,1,looking forward to,0,looking forward,0,a personality trait,0,good,0,good,0,good,0,[blank],n/a,unhappy,1,unhappy,1,angry,1,sad,1,excited,1,excited,1,excited,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
62a1e98aa066554d8ab25308,animate,lexical,,,,,,,,,,,,,,,,,,,,,,,,,,,,,happy,1,nice,0,,,,,,,unhappy,1,,,,,likes it,0,likes it,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
62a1e98aa066554d8ab25308,animate,lexical,,,,,,,,,,,,,,,,,,,,,,,,,,,,,nice,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
620297b8ef1cb18a1337c16d,animate,lexical,something you keep ,1,lipbalm,1,pens,1,pens,1,hungry,0,unhappy,1,unhappy,1,unhappy,1,happy,1,scared,1,scared,1,scared,1,active,0,joyful,1,[blank],n/a,[blank],n/a,excited,1,worried,1,angry,1,annoyed,1,creative,0,happy,1,happy,1,happy,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
606d4e6a90238128de804d67,animate,lexical,sweets,1,sweets,1,sweets,1,bubble gum,0,cool groovy ,0,anxious,1,happy,1,ecstatic,1,playful ,0,love animals,0,happy,1,excited,1,cheerful ,1,exciting ,0,helpful,0,helpful ,0,athletic ,0,protective ,0,angry,1,upset,1,cool,0,defeated,1,dislikes ,0,defeated,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
606d4e6a90238128de804d67,animate,lexical,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,angry,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
606d4e6a90238128de804d67,animate,lexical,,,,,,,,,,,,,excited,1,,,,,,,,,,,,,,,,,,,,,,,,,mad,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5ec2720ae69a920447fa71a4,animate,lexical,an item,1,unsure small item,1,something you can buy,1,"a thing, item",1,personality,0,worried,1,worried,1,worried,1,young,0,scared,1,scared,1,scared,1,active,0,active,0,active,0,fun,0,"fast, active",0,concerned,1,angry,1,angry,1,talented,0,happy,1,happy,1,happy,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
